logD,caco2_atob_LogPapp,caco2_btoa_LogPapp,mppb_LogUnbound,hppb_LogUnbound
2.54,,,,
-0.5,,,,
,,,,0.8388490907372557
,,,,1.3807537708039002
3.5,,,,
3.9,,,,
3.36,,,,
2.0,,,,1.146128035678238
2.9,,,,
3.3,,,,
,,,,-0.04575749056067238
3.3,,,,
,,,,0.5797835966168098
,,,,1.3222192947339193
,-4.411168274405793,-4.508638306165727,,0.6211762817750359
7.5,,,,
2.5,,,,
-0.48,,,,
0.6,,,,
0.5,,,,
1.2,,,,
2.975,,,,0.14301480025409527
,-5.97469413473523,-5.189767482004916,,
,,,,-0.7447274948966774
3.26,,,,
1.7,,,,
2.0,,,,
3.0,,,,
,,,,1.1189257528257768
3.05,,,,
,,,,1.4473131088235682
0.3,,,,
2.1,,,,
,,,,0.6693168805661123
1.3,,,,
4.9,,,,
0.1,,,,
7.57,,,,
3.4,,,,0.6117233080073422
,-4.823908740944319,-5.096910013008056,,
3.7,,,,
2.54,,,,
6.5,,,,
4.1,,,,
2.7,,,,
,-5.292429823902063,-5.187086643357144,,
,-4.812197361281581,-4.372531727540291,1.3074960379132128,1.4653828514484184
,,,,-0.6989700043360126
2.805,,,,
2.9,,,,
3.7,,,,
3.9,,,,
4.0,,,,
1.08,,,,
4.4,,,,
,,,,0.3222192947339181
3.9,,,,
4.4,,,,
1.77,-4.147520006363144,-4.649751981665837,,
1.8,,,,
1.8,,,,
1.8,,,,
1.961,,,,
,-5.0,,,
,-5.6777807052660805,,,
1.0,,,,
0.22,,,,
3.5,,,,
3.1,,,,
,-4.355561410532162,-4.712198270069774,,
1.6,,,,
2.05,,,,
0.4,,,,
2.51,,,,
3.16,,,,
1.2,,,,
-0.4,,,,
5.43,,,,
1.75,,,,
3.1,,,,
2.8,,,,
,-4.958607314841775,,1.9934362304976116,1.9903388547876015
2.8,,,,
,,,,0.6020599913279624
3.75,,,,
0.315,,,,
2.3,-5.040958607678906,,,
2.01,,,,
1.4,-4.2839966563652006,,,0.8450980400142568
,,,,1.4377505628203882
5.2,,,,
3.8,,,,
4.1,,,,
0.9,,,,
1.27,-4.801342913045577,-4.399027104313252,,
,,,0.43136376415898775,0.07918124604762586
2.8,,,,0.6989700043360189
1.47,,,,
1.4,,,,
2.22,,,,
,,,,0.8388490907372557
2.2,,,,
5.54,,,,
,,,-1.0000000000000246,0.07918124604762586
2.6,,,,
,,,0.9030899869919435,0.7781512503836436
3.31,,,,
2.3,-4.920818753952375,,,
-2.0999999999999996,,,,
,,,,-0.9586073148417772
2.19,,,,
4.8,,,,
0.3,,,,
2.2,,,,
1.72,,,,
2.3,,,,
2.4,,,,
2.3,,,,
3.6,,,,
-0.87,,,,
1.2,,,,
-3.18,,,,
,,,,0.0
,,,,0.6989700043360189
,,,,0.6989700043360189
,,,,0.0
,,,,0.6989700043360189
,,,,0.0
,,,,0.0
1.43,,,,
,,,,1.7160033436347992
2.8,,,,
,-4.9582126810282485,-5.0,,
-0.05,,,,
1.5,,,,
-1.24,-6.301029995663981,-5.853871964321762,,-0.657577319177796
3.1,,,,
0.9,,,,
3.5,,,,
1.78,,,,
1.8,,,,
0.4,,,,
2.4,,,,
1.63,,,,
4.83,,,,
2.5,,,,
,,,,1.0216027160282424
2.8,,,,
1.7,,,,
3.9,,,,
2.85,,,,
3.2,,,,
,-5.070581074285707,-4.455931955649724,,
,-4.450996737974212,-4.636388020107856,,
0.5,,,,
0.72,,,,
1.6,,,,
,-4.3872161432802645,,,
4.04,,,,
,,,,1.9995654882259823
2.9,,,,
2.6,,,,
1.2,,,,
0.1,,,,
1.3,,,,
2.4,,,,
,,,,-0.22184874961636047
2.3,,,,
,,,,1.414973347970818
3.4,,,,
1.7,,,,
4.67,,,,
3.1,,,,
-1.61,,,,
,,,,0.27875360095283025
3.3,,,,
0.49,,,,
1.5,,,,
,,,,0.49136169383427186
,,,,0.5682017240669953
1.2,,,,
,-7.221848749616356,,,
0.93,,,,
3.9,,,,
2.7,,,,0.6232492903979008
2.3,,,,
6.0,,,,
2.6,,,,
3.3,,,,
2.05,,,,
4.0,,,,
3.49,-6.113509274827519,-6.211124884224583,,
,-4.910094888560602,-4.958607314841775,,
,,,,1.9400181550076632
0.845,,,,
2.3,,,,
1.86,,,,
,,,,1.3979400086720377
1.41,,,,
,,,-0.6777807052660937,
2.1,,,,
2.7,,,,
3.9,,,,
3.5,,,,
2.8,-4.346787486224656,,,
,,,,0.0
3.1,,,,
,-7.718966632752273,,,
2.44,,,,0.9947569445876279
0.37,,,,
2.7,,,,
,,,,0.3502480183341618
2.1,,,,
,,,,0.6989700043360189
,,,,1.0791812460476249
2.2,,,,
-0.79,,,,
2.2,,,,
1.0,,,,
,-6.6020599913279625,,,
,,,,0.11394335230683582
0.8,-5.180456064458132,-4.371611069949688,,1.1139433523068367
3.54,,,,
2.8,,,,
,-5.405607449624573,,,
3.2,,,,
3.92,,,,
-1.12,,,,
3.31,,,,
2.56,,,,
2.58,,,,
3.5,,,,
3.5,,,,
3.5,,,,
2.0,-5.823908740944319,,,
3.5,,,,
0.3,,,,
1.9,,,,
1.2,,,,
2.365,,,,
,,,,0.6785183790401136
2.05,,,,
,-5.886056647693163,,,
2.14,,,,
0.7,,,,
1.4,,,,
2.9,,,,
0.9,,,,
1.41,,,,
1.9,,,,
2.6,,,,
5.45,,,,
,,,,0.46686762035411045
2.9,,,,
2.7,,,,
4.0,,,,
1.14,,,,
2.8,,,1.0453229787866571,1.0
3.9,,,,
-0.405,,,,
3.4,,,,
2.58,,,,
2.5,,,,
3.2,,,,
4.05,,,,
1.4,,,,
,,,0.47712125471966244,0.47712125471966244
1.7,,,,
-0.07,,,,
-0.25,,,,
7.035,,,,
,,,,1.5898379431474599
3.58,,,,
,-5.886056647693163,-5.847711655616943,,
-1.09,,,,
,-7.0,-6.154901959985743,,
2.8,,,,
2.3,,,,
2.73,,,,
2.62,,,,
2.1,,,1.0413926851582251,0.9542425094393249
,,,1.6127838567197355,
3.0,,,,
3.4,,,,
,,,,1.8457180179666586
1.73,,,,
2.5,,,,
2.9,,,,
0.66,,,,
3.3,,,,
3.99,,,,
3.0,,,,
4.11,-5.11975822410452,-4.847711655616943,,
1.6,,,,
4.83,,,,
2.7,,,,
