epoch,step,train_loss_epoch,train_loss_step
0,49,,0.6727545261383057
0,99,,0.5300294160842896
0,149,,0.3718586266040802
0,199,,0.5162637233734131
0,222,0.5724984407424927,
1,249,,0.3112282454967499
1,299,,0.2747657895088196
1,349,,0.4117002487182617
1,399,,0.3982640504837036
1,445,0.35207563638687134,
2,449,,0.29050496220588684
2,499,,0.39123615622520447
2,549,,0.2869987189769745
2,599,,0.24448725581169128
2,649,,0.3061991333961487
2,668,0.27009862661361694,
3,699,,0.17859548330307007
3,749,,0.18703126907348633
3,799,,0.19549192488193512
3,849,,0.16769778728485107
3,891,0.21993722021579742,
4,899,,0.21642620861530304
4,949,,0.26052841544151306
4,999,,0.15504977107048035
4,1049,,0.1891777515411377
4,1099,,0.20897258818149567
4,1114,0.1840442419052124,
5,1149,,0.24280032515525818
5,1199,,0.09896434098482132
5,1249,,0.1542506366968155
5,1299,,0.13832703232765198
5,1337,0.1559591144323349,
6,1349,,0.11416500061750412
6,1399,,0.10997802019119263
6,1449,,0.08465377241373062
6,1499,,0.21262696385383606
6,1549,,0.19990722835063934
6,1560,0.13346414268016815,
7,1599,,0.14612337946891785
7,1649,,0.12780241668224335
7,1699,,0.10919766873121262
7,1749,,0.061574894934892654
7,1783,0.11774834990501404,
8,1799,,0.06511524319648743
8,1849,,0.10403794050216675
8,1899,,0.09119381755590439
8,1949,,0.09084074944257736
8,1999,,0.10133330523967743
8,2006,0.10571397840976715,
9,2049,,0.11176082491874695
9,2099,,0.07870493084192276
9,2149,,0.09165389090776443
9,2199,,0.12734253704547882
9,2229,0.10408292710781097,
10,2249,,0.08426646143198013
10,2299,,0.08235018700361252
10,2349,,0.045174360275268555
10,2399,,0.08458413928747177
10,2449,,0.09985996782779694
10,2452,0.08968158811330795,
11,2499,,0.11218423396348953
11,2549,,0.07962001860141754
11,2599,,0.08310585469007492
11,2649,,0.0676255151629448
11,2675,0.07887014746665955,
12,2699,,0.08102783560752869
12,2749,,0.10859046876430511
12,2799,,0.058027319610118866
12,2849,,0.09339398145675659
12,2898,0.0803174376487732,
13,2899,,0.11552716791629791
13,2949,,0.10946664214134216
13,2999,,0.05188719928264618
13,3049,,0.051465295255184174
13,3099,,0.07017725706100464
13,3121,0.07725410163402557,
14,3149,,0.06201859191060066
14,3199,,0.0574350543320179
14,3249,,0.03630300238728523
14,3299,,0.057523105293512344
14,3344,0.06764323264360428,
15,3349,,0.05943330377340317
15,3399,,0.06551714241504669
15,3449,,0.06203097850084305
15,3499,,0.05361776798963547
15,3549,,0.11203446239233017
15,3567,0.07044778019189835,
16,3599,,0.04138524457812309
16,3649,,0.04161875694990158
16,3699,,0.10049198567867279
16,3749,,0.0980587750673294
16,3790,0.07051987946033478,
17,3799,,0.08952523022890091
17,3849,,0.05745616927742958
17,3899,,0.04753468185663223
17,3949,,0.060889337211847305
17,3999,,0.0992669090628624
17,4013,0.05567318946123123,
18,4049,,0.041378822177648544
18,4099,,0.05423947423696518
18,4149,,0.055803749710321426
18,4199,,0.08187036216259003
