OPENADMET_INCHIKEY,OPENADMET_CANONICAL_SMILES,logD
AAAOTGDHZDZLFN-UHFFFAOYSA-N,CONC(=O)NC1=CC=C(C2=C(CN(C)CCC3=CC=CC=N3)C3=C(S2)N(CC2=C(F)C=CC=C2F)C(=O)N(C2=CC=CC=C2)C3=O)C=C1,2.54
AAAPJPRRMCROHP-UHFFFAOYSA-N,COC(=O)N1CCC(N2C(=O)N(CC3=NC(C)=C(C)N3CCCCO)C3=CN=CC=C32)CC1,-0.5
AABXIVRNFNDUCI-UHFFFAOYSA-N,COC1=CC(CN2CCCC23COC3)=CC=C1OC1CN(C(=O)C2=NN=C(C3=CC=CC=C3)O2)C1,3.5
AACZEBAKIQBZKP-UHFFFAOYSA-N,O=C(CC1=CC=C(F)C=C1)NC1=CC=C(C2=CN3N=C(NC4=CC=C(C(=O)N5CCOCC5)C=C4OCC(F)(F)F)N=C3C=C2)C=C1,3.9
AAEAOCANLCADJJ-AGGWBTHJSA-N,CC1=NSC(N2C[C@H]3CC[C@@H](C2)[C@@H]3NC2=NN3C=CC=C(OCCC(F)(F)F)C3=N2)=N1,3.36
AAFSIPPWGBQMKB-UHFFFAOYSA-N,C1=CN=C(NC2=NC=NC3=CC=C(C4=NC=CC(N5CCOCC5)=N4)C=C23)N=C1,2.0
AAGISEXHOPCAHZ-KRWDZBQOSA-N,CC1=CC=C(NC(=O)[C@H](COC(C)C)OC2=NC=NC3=C2C=NN3C2=NC=CC=C2Cl)N=C1,2.9
AAGWAYIWKWJZAD-HSZRJFAPSA-N,O=C(NCCN1CCC[C@@H]1CN1N=C(CC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O)C1CCOCC1,3.3
AAHNBILIYONQLX-UHFFFAOYSA-N,COC1=CC(C2=CN(C3CCC4=C(F)C=CC=C4N(CC(F)(F)F)C3=O)N=N2)=CC=C1N1C=NC(C)=C1,3.3
AAKUQSYDOBFTFG-UHFFFAOYSA-N,CC(=O)N1C2=CC=CC=C2N(CC2=CC=CC=C2N(C)C)CC1C1CC1,7.5
AALHNBNOUAEYHF-UHFFFAOYSA-N,CNC(=O)CN1C=C(C2CC2)C(OC2=CC=C(C#N)C=C2)=C1C1CC1,2.5
AAMFCDRGHVWGAW-UHFFFAOYSA-N,O=C(O)C1=CN(C2=CC=C(F)C=C2F)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,-0.48
AAMMQVFLCXMBIO-UHFFFAOYSA-N,COC1=CC(CC2=CN=C(N)N=C2N)=CC=C1OS(C)(=O)=O,0.6
AANWKMDSCBVLTD-ZOCIIQOWSA-N,O=S(=O)(NC1=CC=NC=N1)C1=CC2=C(C=C1F)[C@@H](N1CC[C@H](C(F)(F)F)C[C@@H]1C1=CN=CC=N1)CCO2,0.5
AAOTVWDBODRGRV-UHFFFAOYSA-N,CN(C)CCN(C)C1=CC=C(CN2C(=O)NC3=C(N)N=C(C(F)(F)F)C=C32)C=N1,1.2
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CN1C(=O)CN=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C21,2.975
AAQUAOZEPNTOKD-UHFFFAOYSA-N,CC(C)CC1=CC(=O)N2NC(NCC3=CC=C(Cl)C=C3)=C(C#N)C2=N1,3.26
AARGZKBSIZRPJQ-UHFFFAOYSA-N,COC1=C(CN2CCC3=C(Cl)C=C(C(OC)C4CCN(C(=O)CO)CC4)C(Cl)=C3C2=O)C(=O)NC(C)=C1,1.7
AARRAQHMWVXNTL-LBPRGKRZSA-N,CC1=NC=C(C)N2N=C(CC(=O)N3C4=NC5=CC=CC=C5N4C[C@@H]3C)N=C12,2.0
AARVTENEMZRJQO-VIZZQPHQSA-N,C[C@H]1[C@H](F)C[C@@H](C(=O)NCC2=CC=NC(C3=CN=C(C(F)(F)F)N=C3)=C2)N1S(=O)(=O)C1=CC=C(F)C=C1,3.0
AATCBLYHOUOCTO-UHFFFAOYSA-N,CCN1CCN(CC(=O)NC2=CC=C(C3=CC=CC4=C3OC(N3CCOCC3)=CC4=O)C3=C2C2=CC=CC=C2S3)CC1,3.05
AATNBTJMPKQWHP-UHFFFAOYSA-N,O=C1NC(OC2=CN(CC3=CC=CN=C3)N=C2)=NC2=CN=CC=C12,0.3
AATPUAWFTSTEJA-WNRNVDISSA-N,CNC(=O)C1=CC(C(=O)N[C@H]2[C@@H]3COC[C@@H]32)=CC2=C1OC[C@H]2C1CCOCC1,2.1
AATSAMRSGNEIGC-INIZCTEOSA-N,CCN1C(C2=CN=C(C)N=C2)=NC2=C(O[C@H]3CCN(C(=O)C4CCC4)C3)N=CN=C21,1.3
AATZKEXIWKFQCU-RYQLWAFASA-N,CC(C)(C)C1=CC=C(/C=N/N=C(N)N/N=C/C2=CC=C(C(C)(C)C)C=C2)C=C1,4.9
AAWUFMNLYZZSJH-UHFFFAOYSA-N,CC1=CC(C)=CC(S(=O)(=O)N2CC[S+]([O-])C3=CC=C(C(=O)NC4=CC=C(C(=O)O)C=C4)C=C32)=C1,0.1
AAWUYTWRCPGEKD-UHFFFAOYSA-N,CN1C(CNC2=CC=NC3=CC(Cl)=CC=C23)=NC(C2=CC=CC=C2)=C1CN1CCCC1,7.57
AAXNCGQOXAXDOW-UHFFFAOYSA-N,CC1=CC=C(CO)C=C1N(C1=CC=NC(NC2=CC(N3CCOCC3)=CC(S(C)(=O)=O)=C2)=N1)C(C)C,3.4
AAYVBZBRTLIAQD-UHFFFAOYSA-N,CC1=C(C(=O)NC2CC2)NC=C1CC1=CC=C(C(F)(F)F)C=C1,3.7
AAZOUMYVCNRDMB-UHFFFAOYSA-N,O=C1NC2=C(O)C=CC(CCNCCCS(=O)(=O)CCOCCC3=CC=CC4=CC=CC=C34)=C2S1,2.54
ABAMKJIAQACLMF-MBOCNQOASA-N,CC[C@](C)(O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,6.5
ABAQMTMQQSSUGL-UHFFFAOYSA-N,O=C(NC1=CC=NN=C1)C1=CC(N2CCOCC2)=CC=C1OCC1=CC=CC=C1,4.1
ABBQSZMLKDIOOJ-UHFFFAOYSA-N,NC(=O)CC1=C(C2=CC=C(Cl)C=C2)N(C2=CC=CC=C2Cl)N=C1C(=O)N1CCC(O)(C2=CC=CC=C2)CC1,2.7
ABCKFBCOWDNJJY-CQSZACIVSA-N,CN(C(=O)[C@@H](CC(=O)O)CC1CCCC1)C1=NC(C2=CC=CC=C2Cl)=CS1,2.805
ABCLYDOXFRWKNB-UHFFFAOYSA-N,CC1=NC(C)=C(C2=CC=C3C=C(CCN4CCCC4C)C=CC3=N2)C=C1C#N,2.9
ABEVETPHKVRJTO-UHFFFAOYSA-N,CC(=O)NC1CCN(CC2=CC3=NC(C4=CC=CC5=C4C=CN5)=NC(N4CCOCC4)=C3S2)C1,3.7
ABGBHHDSOIOYML-JTQLQIEISA-N,COC1=CC=C([C@H](C)C2=NNC(C3=C(C)N=C(C)S3)=C2)C=C1,3.9
ABGBHHDSOIOYML-SNVBAGLBSA-N,COC1=CC=C([C@@H](C)C2=NNC(C3=C(C)N=C(C)S3)=C2)C=C1,4.0
ABGWTUBCLOCHCO-KGXZHFCSSA-N,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](OC2=CC=C3C(=O)C(NC(=O)C4=CC(CC=C(C)C)=C(O)C(CN(C)C(=O)CS(C)(=O)=O)=C4)=C(O)OC3=C2C)OC1(C)C,1.08
ABIPYXOEURICTI-UHFFFAOYSA-N,CC1=CC=C2C(=C1)N=C(CCN1C(=O)C(C)=NC3=CC=CN=C31)N2C1=CC=CC=C1,4.4
ABIWKFCTLVJCKN-UHFFFAOYSA-N,CN(C(=O)CN1CCN(C2=CC=C(F)C=N2)CC1)C1=NC2=C(CCCC2)S1,3.9
ABJPGNDORJFYMH-UHFFFAOYSA-N,CC1=NC(C)=C(C2=NNC(CCCC3=CC=CC=C3)=C2)S1,4.4
ABJWJGMTLYSISP-UHFFFAOYSA-N,O=C(C1=CC=C(CN2CCOCC2)C=C1)N1CCN(C2CCC2)CC1,1.77
ABKCBHGHCYFDNT-UHFFFAOYSA-N,N#CC1=CC=C(OC2=CC=C(S(=O)(=O)NC3=CC=C(F)C=N3)C=C2C#N)C=C1Cl,1.8
ABKGTFFKSJEJIQ-FQEVSTJZSA-N,CN(C)CCCOC1=CC=C(C2=CC=C3N=CC4=C(C3=C2)N([C@H]2CCCOC2)C(=O)N4C)C=N1,1.8
ABKGTFFKSJEJIQ-HXUWFJFHSA-N,CN(C)CCCOC1=CC=C(C2=CC=C3N=CC4=C(C3=C2)N([C@@H]2CCCOC2)C(=O)N4C)C=N1,1.8
ABKUNMXQTDTBPW-UHFFFAOYSA-N,NS(=O)(=O)C1=NN=C(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NC2=NN=C(S(N)(=O)=O)S2)CC(=O)O)CC(=O)O)S1,1.961
ABLSECMUBQGKAB-JBACZVJFSA-N,O=C(N[C@H]1CN(S(=O)(=O)C2=CC=CC=C2)C[C@@H]1C(=O)N[C@H]1CCCNC1)C1=NN=C(C2=CC=C(F)C=C2)S1,1.0
